Date,Open,High,Low,Close,Adj Close,Volume
1/26/22,147.779999,148.970001,142.729996,143.990005,142.054367,7444600
1/27/22,144.990005,147.350006,143.580002,144.639999,142.695633,6396400
1/28/22,144.119995,146.029999,140.610001,145.910004,143.948547,6130200
1/31/22,146.270004,148.179993,145.220001,148.070007,146.079529,6932200
2/1/22,149.5,149.679993,146.800003,148.220001,146.227509,6695000
2/2/22,148.350006,149.460007,147.529999,148.710007,146.710938,5491700
2/3/22,147.399994,148.460007,144.970001,145.309998,143.356628,5240200
2/4/22,145.369995,146.479996,143.639999,145.389999,143.435547,4313400
2/7/22,145.300003,146.119995,144.220001,145.139999,143.188904,3877500
2/8/22,144.740005,145.5,142.300003,143.529999,141.600555,5829400
2/9/22,146.110001,147.360001,145.669998,146.259995,144.293854,4551000
2/10/22,143.960007,147.539993,143.850006,144.820007,142.873215,5142600
2/11/22,144.759995,145.059998,139.559998,140.179993,138.295578,6710500
2/14/22,140.080002,143.210007,139.789993,141.589996,139.68663,6841200
2/15/22,144.220001,146.320007,144.100006,145.580002,143.622986,7820200
2/16/22,145.020004,146.949997,144.610001,146.490005,144.520752,4817500
2/17/22,145.539993,146.910004,142.639999,142.800003,140.880356,5202300
2/18/22,143.369995,143.940002,141.809998,142.949997,141.028336,5177400
2/22/22,141.589996,141.639999,136.160004,138.190002,136.332321,9604500
2/23/22,139.660004,140.970001,136.509995,136.830002,134.990631,7636600
2/24/22,133,137.419998,130.929993,137.169998,135.326035,8417200
2/25/22,138.130005,139.220001,136.190002,138.800003,136.934128,5424500
2/28/22,137.059998,138.380005,135.039993,136.550003,134.714371,6613300
3/1/22,136.720001,136.75,131.149994,132.220001,130.442581,6534000
3/2/22,132.979996,136.610001,132.770004,135.679993,133.856064,7743900
3/3/22,136.740005,136.800003,133.449997,133.970001,132.169052,4576500
3/4/22,132.509995,133.619995,130.699997,131.179993,129.711868,7084500
3/7/22,131,131.029999,124.169998,124.440002,123.04731,11383400
3/8/22,125.239998,125.470001,120.800003,121.209999,119.853455,9089400
3/9/22,127.379997,129.649994,126.629997,126.949997,125.529205,8845100
3/10/22,124.019997,126.599998,124,126.029999,124.619507,7167400
3/11/22,127.010002,127.870003,122.510002,122.629997,121.257561,5882000
3/14/22,121.529999,122.449997,116.75,117.57,116.254189,13884900
3/15/22,119.839996,120.419998,117.75,119.400002,118.063713,10431300
3/16/22,122.849998,126.110001,121.93,125.190002,123.788918,11100400
3/17/22,124.940002,127.410004,123.699997,127.410004,125.984062,6845300
3/18/22,126.849998,131.460007,126.699997,131.240005,129.77121,10350900
3/21/22,129.720001,132.309998,128.619995,130.190002,128.732956,14388500
3/22/22,137.279999,139,132.990005,133.089996,131.600494,19731200
3/23/22,132.639999,135.399994,131.199997,133,131.51149,8068800
3/24/22,133.75,134.190002,131.199997,132.080002,130.601791,5853800
3/25/22,133.050003,133.869995,131.710007,133.699997,132.203674,6287000
3/28/22,133.759995,134.860001,132.169998,134.809998,133.301254,5804100
3/29/22,137.850006,139.75,136.949997,139.139999,137.582779,7275900
3/30/22,138.979996,139.860001,137.559998,138.539993,136.989502,5545800
3/31/22,137.830002,138.710007,134.5,134.559998,133.054047,7206500
4/1/22,134.449997,135.279999,132.75,133.520004,132.025696,5807500
4/4/22,133.050003,135.210007,132.860001,134.339996,132.836502,5307300
4/5/22,134.039993,134.679993,132.020004,132.300003,130.819351,5707800
4/6/22,130.050003,130.300003,126.330002,128.360001,126.923439,6961000
4/7/22,127.43,129.979996,127.089996,129.380005,127.93203,5320500
4/8/22,129.440002,129.929993,127.879997,128.149994,126.715782,4877400
4/11/22,125.099998,126.870003,124.32,124.980003,123.581268,6365400
4/12/22,125.199997,128.100006,124.339996,125.040001,123.640587,5146800
4/13/22,125.040001,127.860001,125.040001,127.489998,126.063164,5119300
4/14/22,129.080002,134.380005,128.889999,133.460007,131.96637,12811300
4/18/22,132,133.389999,130.309998,131.630005,130.156845,5298200
4/19/22,133.089996,137.479996,132.779999,137.050003,135.51619,7346100
4/20/22,137.960007,138.649994,135.660004,135.869995,134.349365,5309700
4/21/22,138.550003,139.139999,135.080002,135.460007,133.943985,6562400
4/22/22,134.330002,134.929993,128.710007,129.070007,127.625504,7321700
4/25/22,127.800003,128.940002,124.849998,127.940002,126.508141,6512500
4/26/22,126.949997,127.589996,120.480003,120.519997,119.171173,7977900
4/27/22,121.089996,124,121.089996,121.239998,119.883118,6007800
4/28/22,123.169998,127.970001,122.599998,127.050003,125.628105,6551600
4/29/22,126.220001,128.449997,124.25,124.699997,123.304398,5867900
5/2/22,124.43,126.18,122.800003,126.080002,124.668961,5428400
5/3/22,125.019997,125.760002,120.220001,122.860001,121.485001,8201200
5/4/22,122.540001,126.199997,120.080002,126.059998,124.64917,6924000
5/5/22,124.110001,124.75,116.519997,118.629997,117.30233,8411600
5/6/22,113.739998,115.900002,110.660004,114.489998,113.208664,11237500
5/9/22,112.970001,114.43,110.589996,111.209999,109.96537,7506000
5/10/22,113.029999,113.440002,108.349998,109.489998,108.264626,7526900
5/11/22,110.699997,111.150002,107.589996,107.919998,106.712196,6611800
5/12/22,105.18,109.879997,105,107.900002,106.692421,10245400
5/13/22,110.260002,113.110001,108.669998,113.010002,111.745232,9618800
5/16/22,112.980003,113.440002,111.559998,112.599998,111.339813,5722500
5/17/22,115.5,117.099998,113.07,115.900002,114.602875,6026100
5/18/22,112.5,113.360001,108.779999,109.370003,108.145966,8188300
5/19/22,108.949997,109.110001,106.279999,106.440002,105.248764,7702000
5/20/22,108.669998,109.690002,105.07,108,106.791298,7621900
5/23/22,107.470001,108.75,105.82,108.629997,107.414238,7136400
5/24/22,107.110001,107.989998,104.730003,107.290001,106.089241,6023400
5/25/22,103.459999,108.889999,103.459999,108.199997,106.989052,7158800
5/26/22,110,113.5,110,112.940002,111.676018,6520300
5/27/22,114.220001,116.010002,114.010002,115.989998,114.691879,5043000
5/31/22,117.5,119.790001,114.449997,118.849998,117.519867,13774600
6/1/22,119.830002,120.75,117.610001,118.68,117.351768,5543100
6/2/22,119.510002,123.580002,119.260002,123.410004,122.028839,5838100
6/3/22,120.209999,122.540001,120,120.949997,119.89267,5201500
6/6/22,121.5,122.139999,119.43,120.230003,119.17897,3963400
